user_x, user_y, agv_x, agv_y, gaze_vector_x, gaze_vector_y, gaze_vector_z, user_yaw, agv_user_distance_x, agv_user_distance_y, agv_speed_x, agv_speed_y, user_velocity_x, user_velocity_y, is_user_moving, intent_to_cross, gazing_station, gazing_station_cos, facing_sidewalk, facing_road, on_sidewalk, on_road, closest_station, distance_to_closest_station_x, distance_to_closest_station_y, looking_at_agv, start_station_id, end_station_id, distance_from_start_station_x, distance_from_start_station_y, distance_from_end_station_x, distance_from_end_station_y, facing_start_station, facing_end_station
7554.067871,5944.245605,847.24408,6673.76416,-0.671972,-0.29275,-0.67925,45,6706.823792,729.518555,0.004578,0.091797,-13.369141,-52.526367,FALSE,TRUE,4,0.948955,TRUE,FALSE,FALSE,FALSE,6,84.932129,158.245605,TRUE,8,6,5764.932129,148.245605,84.932129,158.245605,FALSE,FALSE
7554.085938,5944.249512,847.239563,6673.671875,-0.707958,-0.437931,-0.551208,45,6706.846375,729.422363,0.004517,0.092285,0.018066,0.003906,FALSE,TRUE,4,0.894271,TRUE,FALSE,FALSE,FALSE,6,84.914062,158.249512,TRUE,8,6,5764.914062,148.249512,84.914062,158.249512,FALSE,FALSE
7554.016113,5944.14209,847.234924,6673.580078,-0.617042,-0.730347,-0.253903,45,6706.781189,729.437988,0.004639,0.091797,-0.069824,-0.107422,FALSE,FALSE,4,0.711352,FALSE,FALSE,FALSE,FALSE,6,84.983887,158.14209,FALSE,8,6,5764.983887,148.14209,84.983887,158.14209,FALSE,FALSE
7553.760742,5944.432617,847.230347,6673.487793,-0.672972,-0.732694,-0.088611,45,6706.530396,729.055176,0.004578,0.092285,-0.255371,0.290527,FALSE,FALSE,4,0.739974,FALSE,FALSE,FALSE,FALSE,6,85.239258,158.432617,FALSE,8,6,5765.239258,148.432617,85.239258,158.432617,FALSE,FALSE
7553.722168,5944.62793,847.225769,6673.396973,-0.752563,-0.642535,-0.141958,45,6706.496399,728.769043,0.004578,0.09082,-0.038574,0.195312,FALSE,TRUE,4,0.815915,FALSE,FALSE,FALSE,FALSE,6,85.277832,158.62793,FALSE,8,6,5765.277832,148.62793,85.277832,158.62793,FALSE,FALSE
7553.722168,5944.62793,847.221069,6673.305664,-0.515208,-0.836347,-0.096222,45,6706.501099,728.677734,0.0047,0.091309,0,0,FALSE,FALSE,4,0.599058,FALSE,FALSE,FALSE,FALSE,6,85.277832,158.62793,FALSE,8,6,5765.277832,148.62793,85.277832,158.62793,FALSE,FALSE
7553.722168,5944.62793,847.216309,6673.213379,-0.286167,-0.952639,-0.099542,45,6706.505859,728.585449,0.004761,0.092285,0,0,FALSE,FALSE,6,0.707326,FALSE,FALSE,FALSE,FALSE,6,85.277832,158.62793,FALSE,8,6,5765.277832,148.62793,85.277832,158.62793,FALSE,FALSE
7553.722168,5944.62793,847.211548,6673.121582,-0.444361,-0.884708,-0.132611,45,6706.51062,728.493652,0.004761,0.091797,0,0,FALSE,FALSE,6,0.574559,FALSE,FALSE,FALSE,FALSE,6,85.277832,158.62793,FALSE,8,6,5765.277832,148.62793,85.277832,158.62793,FALSE,FALSE
7553.722168,5944.62793,847.206787,6673.029297,-0.502333,-0.846639,-0.175625,45,6706.515381,728.401367,0.004761,0.092285,0,0,FALSE,FALSE,4,0.585669,FALSE,FALSE,FALSE,FALSE,6,85.277832,158.62793,FALSE,8,6,5765.277832,148.62793,85.277832,158.62793,FALSE,FALSE
7553.722168,5944.62793,847.201965,6672.9375,-0.497083,-0.848069,-0.18375,45,6706.520203,728.30957,0.004822,0.091797,0,0,FALSE,FALSE,4,0.581335,FALSE,FALSE,FALSE,FALSE,6,85.277832,158.62793,FALSE,8,6,5765.277832,148.62793,85.277832,158.62793,FALSE,FALSE
