User_X,User_Y,AGV_distance_X,AGV_distance_Y,AGV_speed_X,AGV_speed_Y,AGV_speed,User_speed_X,User_speed_Y,User_speed,User_velocity_X,User_velocity_Y,Wait_time,intent_to_cross,Gazing_station,possible_interaction,facing_along_sidewalk,facing_to_road,On_sidewalks,On_road,closest_station,distance_to_closest_station,distance_to_closest_station_X,distance_to_closest_station_Y,looking_at_AGV,GazeDirection_X,GazeDirection_Y,GazeDirection_Z,AGV_X,AGV_Y,looking_at_closest_station
1529.7,8573.665,21.7053,17.85561,0.0014,6.4232,6.423200153,0.1036,0.5278,0.537871546,0.1036,0.5278,0,FALSE,8,FALSE,TRUE,FALSE,FALSE,FALSE,1,120.3504559,50.3,109.335,TRUE,0.882,-0.288,-0.372,3700.23,10359.226,TRUE
1529.903,8575.356,21.70347,17.18713,0.0021,6.4127,6.412700344,0.0049,0.0707,0.070869599,0.0049,0.0707,0,TRUE,8,FALSE,TRUE,TRUE,FALSE,FALSE,1,118.7305359,50.097,107.644,TRUE,0.898,-0.224,-0.378,3700.25,10294.069,TRUE
1528.167,8574.264,21.72102,16.54287,0.0021,6.6185,6.618500333,0.2632,0.2688,0.376201648,-0.2632,-0.2688,0,FALSE,8,FALSE,TRUE,FALSE,FALSE,FALSE,1,120.4581985,51.833,108.736,TRUE,0.888,-0.238,-0.394,3700.269,10228.551,TRUE
1526.665,8572.166,21.73623,15.90752,0.0014,6.6234,6.623400148,0.1029,0.1701,0.198802465,-0.1029,-0.1701,0,FALSE,8,FALSE,TRUE,FALSE,FALSE,FALSE,1,122.999178,53.335,110.834,TRUE,0.883,-0.278,-0.379,3700.288,10162.918,TRUE
1525.793,8570.736,21.74515,15.26898,0.0021,6.5366,6.536600337,0.0469,0.0609,0.076866247,-0.0469,-0.0609,0,FALSE,6,FALSE,TRUE,FALSE,FALSE,FALSE,1,124.6659719,54.207,112.264,TRUE,0.871,-0.322,-0.372,3700.308,10097.634,TRUE
1527.204,8567.059,21.73123,14.64737,0.0021,6.6752,6.67520033,0.4725,0.9422,1.054038467,0.4725,-0.9422,0,FALSE,6,FALSE,TRUE,FALSE,FALSE,FALSE,1,127.3959697,52.796,115.941,TRUE,0.845,-0.365,-0.39,3700.327,10031.796,TRUE
1530.421,8559.243,21.69926,14.07543,0.0021,6.454,6.454000342,0.1246,0.7651,0.775179444,-0.1246,-0.7651,0,FALSE,6,FALSE,TRUE,FALSE,FALSE,FALSE,1,133.3186869,49.579,123.757,TRUE,0.81,-0.433,-0.395,3700.347,9966.786,TRUE
1523.367,8552.919,21.76999,13.47692,0.0021,6.6213,6.621300333,0.8638,0.5334,1.015217218,-0.8638,-0.5334,0,FALSE,6,FALSE,TRUE,FALSE,FALSE,FALSE,1,141.874463,56.633,130.081,TRUE,0.818,-0.408,-0.406,3700.366,9900.611,TRUE
1515.219,8549.342,21.85165,12.86342,0.0007,6.5989,6.598900037,0.6965,0.2618,0.74407761,-0.6965,-0.2618,0,FALSE,6,FALSE,TRUE,FALSE,FALSE,FALSE,1,148.5295894,64.781,133.658,TRUE,0.837,-0.363,-0.409,3700.384,9835.684,TRUE
1508.342,8545.874,21.91608,12.23748,0.1029,6.3427,6.343534638,0.7602,0.3612,0.841646886,-0.7602,-0.3612,0,FALSE,6,FALSE,TRUE,FALSE,FALSE,FALSE,1,154.7204215,71.658,137.126,TRUE,0.846,-0.369,-0.386,3699.95,9769.622,TRUE
