AGV_name,User_X,User_Y,AGV_X,AGV_Y,GazeDirection_X,GazeDirection_Y,GazeDirection_Z
AGV1,1656.717,6286.611,2273.019,6821.816,-0.104,-0.98,-0.167
AGV1,1656.42,6254.468,2269.211,6820.501,-0.114,-0.97,-0.214
AGV1,1656.353,6226.391,2263.774,6819.05,-0.099,-0.976,-0.196
AGV1,1656.396,6196.721,2256.795,6817.221,-0.088,-0.978,-0.189
AGV1,1656.34,6165.065,2248.254,6814.989,-0.074,-0.977,-0.202
AGV1,1656.017,6138.528,2238.233,6812.387,-0.002,-0.971,-0.24
AGV1,1655.282,6118.87,2226.458,6809.321,-0.03,-0.969,-0.243
AGV1,1653.819,6096.921,2213.224,6805.62,-0.016,-0.962,-0.273
AGV1,1651.587,6075.07,2198.413,6801.566,-0.02,-0.936,-0.35
AGV1,1647.761,6050.787,2182.028,6797.257,-0.054,-0.948,-0.315
AGV1,1643.452,6026.401,2164.012,6792.506,-0.105,-0.925,-0.366
AGV1,1639.287,6003.97,2144.472,6787.358,-0.099,-0.919,-0.381
AGV1,1636.723,5991.695,2123.419,6781.821,-0.095,-0.91,-0.403
AGV1,1633.055,5980.709,2100.744,6775.861,-0.092,-0.876,-0.473
AGV1,1631.287,5971.972,2076.476,6769.481,-0.047,-0.882,-0.469
AGV1,1630.568,5966.773,2050.579,6762.674,-0.044,-0.877,-0.478
AGV1,1629.571,5959.278,2023.208,6755.775,-0.068,-0.877,-0.475
AGV1,1629.291,5955.695,1993.999,6749.69,-0.051,-0.868,-0.494
AGV1,1630.325,5942.624,1963.125,6745.881,-0.108,-0.877,-0.469
AGV1,1631.068,5925.964,1930.975,6743.96,-0.133,-0.871,-0.473
AGV1,1631.442,5909.057,1897.556,6739.162,-0.151,-0.852,-0.501
AGV1,1632.306,5891.971,1862.707,6733.131,-0.146,-0.832,-0.535
AGV1,1633.689,5874.81,1826.135,6726.833,-0.157,-0.802,-0.576
AGV1,1635.581,5857.507,1787.877,6720.148,-0.168,-0.766,-0.62
AGV1,1639.385,5840.393,1748.101,6713.128,-0.158,-0.711,-0.685
AGV1,1642.645,5827.055,1706.805,6705.83,-0.159,-0.666,-0.728
AGV1,1643.42,5825.826,1663.619,6698.219,-0.207,-0.567,-0.797
AGV1,1644.508,5822.941,1618.822,6690.32,-0.188,-0.507,-0.842
