AGV_name,User_X,User_Y,AGV_X,AGV_Y,GazeDirection_X,GazeDirection_Y,GazeDirection_Z
AGV10,7695.703,5983.016,9943.844,6679.071,-0.24,-0.911,-0.335
AGV10,7686.69,5970.757,9922.349,6679.063,-0.251,-0.902,-0.352
AGV10,7676.962,5956.351,9900.669,6679.055,-0.266,-0.907,-0.326
AGV10,7666.277,5940.506,9878.893,6679.047,-0.238,-0.907,-0.347
AGV10,7656.345,5920.792,9857.137,6679.039,-0.181,-0.925,-0.332
AGV10,7647.037,5903.498,9835.677,6679.031,-0.073,-0.932,-0.355
AGV10,7642.14,5894.199,9813.989,6679.023,-0.037,-0.892,-0.45
AGV10,7639.351,5887.703,9792.588,6679.015,-0.0,-0.888,-0.46
AGV10,7634.82,5879.106,9770.968,6679.006,-0.014,-0.886,-0.463
AGV10,7630.571,5870.33,9749.685,6678.999,-0.065,-0.884,-0.462
AGV10,7626.703,5861.275,9728.049,6678.99,-0.019,-0.88,-0.474
AGV10,7624.259,5854.812,9706.554,6678.982,0.008,-0.764,-0.644
AGV10,7622.467,5853.668,9684.841,6678.974,0.012,-0.805,-0.593
AGV10,7613.33,5846.896,9663.424,6678.966,0.003,-0.809,-0.588
AGV10,7605.466,5837.752,9641.893,6678.958,-0.016,-0.789,-0.614
AGV10,7601.615,5833.803,9620.341,6678.95,0.026,-0.804,-0.594
AGV10,7591.575,5819.22,9598.71,6678.942,0.195,-0.737,-0.647
AGV10,7582.368,5799.266,9577.196,6678.934,0.219,-0.689,-0.691
AGV10,7579.485,5792.78,9555.55,6678.926,0.33,-0.605,-0.724
AGV10,7579.485,5792.78,9533.939,6678.918,0.473,-0.439,-0.764
AGV10,7579.485,5792.78,9512.303,6678.91,0.51,-0.399,-0.762
AGV10,7579.485,5792.78,9491.005,6678.902,0.476,-0.442,-0.76
AGV10,7579.668,5792.259,9469.336,6678.894,0.439,-0.441,-0.783
AGV10,7579.826,5791.701,9447.988,6678.886,0.428,-0.471,-0.771
AGV10,7579.882,5791.484,9426.375,6678.878,0.426,-0.5,-0.754
AGV10,7579.882,5791.484,9404.795,6678.87,0.419,-0.502,-0.757
AGV10,7579.924,5791.297,9383.281,6678.862,0.426,-0.484,-0.764
AGV10,7580.007,5790.902,9361.543,6678.854,0.428,-0.497,-0.754
AGV10,7580.007,5790.902,9340.058,6678.846,0.426,-0.5,-0.754
AGV10,7580.007,5790.902,9318.351,6678.838,0.419,-0.533,-0.735
AGV10,7580.007,5790.902,9296.654,6678.83,0.082,-0.899,-0.431
AGV10,7580.007,5790.902,9275.383,6678.822,0.055,-0.905,-0.422
AGV10,7580.007,5790.902,9253.738,6678.814,0.068,-0.904,-0.422
AGV10,7580.007,5790.902,9232.392,6678.806,0.043,-0.937,-0.346
AGV10,7580.007,5790.902,9210.755,6678.798,0.113,-0.954,-0.279
AGV10,7580.864,5794.438,9189.122,6678.79,0.131,-0.954,-0.268
AGV10,7586.814,5809.676,9167.6,6678.782,0.133,-0.953,-0.273
AGV10,7589.295,5818.22,9146.086,6678.774,0.117,-0.951,-0.285
AGV10,7589.765,5820.318,9124.391,6678.766,0.095,-0.963,-0.252
AGV10,7590.596,5825.57,9102.78,6678.758,-0.02,-0.991,-0.128
AGV10,7591.253,5831.126,9081.264,6678.75,-0.039,-0.991,-0.13
AGV10,7591.614,5834.189,9059.669,6678.743,-0.255,-0.967,-0.02
AGV10,7592.047,5834.958,9038.21,6678.735,-0.255,-0.967,-0.016
AGV10,7592.073,5835.146,9016.46,6678.727,-0.513,-0.858,-0.01
AGV10,7592.073,5835.146,8995.264,6678.719,-0.544,-0.839,-0.02
AGV10,7592.073,5835.146,8973.523,6678.711,-0.553,-0.831,-0.06
AGV10,7592.073,5835.146,8951.921,6678.703,-0.542,-0.839,-0.058
AGV10,7592.073,5835.146,8930.313,6678.695,-0.347,-0.935,-0.076
AGV10,7592.073,5835.146,8908.659,6678.687,-0.162,-0.987,-0.007
AGV10,7592.073,5835.146,8887.232,6678.679,-0.126,-0.988,-0.084
AGV10,7592.073,5835.146,8865.473,6678.671,-0.122,-0.99,-0.062
AGV10,7592.073,5835.146,8843.923,6678.663,0.079,-0.996,-0.039
AGV10,7592.073,5835.146,8822.331,6678.655,0.097,-0.993,-0.065
AGV10,7592.073,5835.146,8800.826,6678.647,0.312,-0.947,-0.07
AGV10,7592.073,5835.146,8779.217,6678.639,0.348,-0.933,-0.092
AGV10,7592.073,5835.146,8757.662,6678.631,0.439,-0.895,-0.077
AGV10,7591.943,5834.162,8736.011,6678.623,0.462,-0.883,-0.077
AGV10,7591.943,5834.162,8714.565,6678.615,0.458,-0.885,-0.087
AGV10,7591.943,5834.162,8692.977,6678.608,0.516,-0.843,-0.152
AGV10,7591.943,5834.162,8671.238,6678.6,0.515,-0.842,-0.163
AGV10,7591.943,5834.162,8649.693,6678.592,0.506,-0.848,-0.159
AGV10,7591.943,5834.162,8628.165,6678.584,0.444,-0.886,-0.134
AGV10,7591.943,5834.162,8606.532,6678.576,0.417,-0.9,-0.125
AGV10,7591.943,5834.162,8584.956,6678.568,-0.014,-1.0,-0.003
AGV10,7591.943,5834.162,8563.116,6678.56,-0.019,-1.0,0.001
AGV10,7591.943,5834.162,8541.948,6678.552,0.053,-0.998,-0.012
AGV10,7591.943,5834.162,8520.193,6678.544,0.055,-0.998,-0.008
AGV10,7591.943,5834.162,8498.685,6678.536,0.047,-0.999,-0.012
AGV10,7591.943,5834.162,8476.96,6678.528,0.044,-0.999,-0.012
AGV10,7591.943,5834.162,8455.412,6678.521,-0.306,-0.952,0.003
AGV10,7591.943,5834.162,8433.915,6678.513,-0.308,-0.951,-0.005
AGV10,7591.943,5834.162,8412.174,6678.505,-0.122,-0.947,-0.298
AGV10,7591.943,5834.162,8390.751,6678.497,-0.12,-0.948,-0.296
AGV10,7591.943,5834.162,8369.1,6678.489,-0.103,-0.948,-0.301
AGV10,7591.943,5834.162,8347.49,6678.481,0.02,-0.959,-0.282
AGV10,7591.943,5834.162,8325.982,6678.473,0.029,-0.962,-0.272
AGV10,7591.943,5834.162,8304.378,6678.465,0.025,-0.961,-0.274
AGV10,7591.943,5834.162,8282.818,6678.457,0.019,-0.963,-0.27
AGV10,7591.943,5834.162,8261.294,6678.45,0.018,-0.962,-0.273
AGV10,7591.943,5834.162,8239.589,6678.442,0.014,-0.961,-0.276
AGV10,7591.943,5834.162,8217.981,6678.434,-0.277,-0.953,-0.122
AGV10,7591.943,5834.162,8196.554,6678.426,-0.275,-0.953,-0.125
AGV10,7591.882,5832.722,8174.881,6678.418,-0.269,-0.956,-0.117
AGV10,7591.882,5832.722,8153.313,6678.41,-0.199,-0.961,-0.191
AGV10,7591.882,5832.722,8131.67,6678.402,-0.049,-0.928,-0.37
AGV10,7591.882,5832.722,8110.146,6678.395,-0.049,-0.924,-0.378
AGV10,7591.882,5832.722,8088.591,6678.387,-0.045,-0.928,-0.369
AGV10,7591.882,5832.722,8066.884,6678.379,-0.045,-0.927,-0.372
AGV10,7591.87,5832.424,8045.155,6678.371,-0.086,-0.921,-0.379
AGV10,7591.87,5832.424,8023.655,6678.363,-0.088,-0.923,-0.375
AGV10,7591.87,5832.424,8002.111,6678.355,-0.093,-0.921,-0.377
AGV10,7591.87,5832.424,7980.459,6678.347,-0.088,-0.918,-0.387
AGV10,7591.87,5832.424,7959.136,6678.34,-0.092,-0.918,-0.386
AGV10,7591.87,5832.424,7937.474,6678.332,-0.086,-0.921,-0.38
