AGV_name,User_X,User_Y,AGV_X,AGV_Y,GazeDirection_X,GazeDirection_Y,GazeDirection_Z
AGV1,1263.64,7118.44,1743.566,6712.736,0.195,-0.864,-0.463
AGV1,1263.64,7118.44,1743.37,6712.678,0.07,-0.879,-0.472
AGV1,1263.64,7118.44,1743.402,6712.664,0.064,-0.881,-0.468
AGV1,1263.64,7118.44,1743.542,6712.685,0.086,-0.88,-0.467
AGV1,1263.64,7118.44,1743.664,6712.71,0.156,-0.905,-0.394
AGV1,1263.64,7118.44,1743.715,6712.723,0.269,-0.923,-0.273
AGV1,1263.64,7118.44,1743.701,6712.721,0.282,-0.918,-0.279
AGV1,1263.567,7118.338,1743.675,6712.717,0.278,-0.918,-0.281
AGV1,1262.675,7116.803,1743.657,6712.714,0.419,-0.852,-0.314
AGV1,1261.981,7115.449,1743.645,6712.712,0.578,-0.742,-0.338
AGV1,1261.932,7115.36,1743.636,6712.71,0.567,-0.701,-0.432
AGV1,1261.932,7115.36,1743.629,6712.709,0.551,-0.69,-0.469
AGV1,1261.932,7115.36,1743.623,6712.709,0.341,-0.803,-0.489
AGV1,1261.932,7115.36,1743.619,6712.708,0.124,-0.869,-0.478
AGV1,1261.932,7115.36,1743.617,6712.708,0.13,-0.877,-0.462
AGV1,1261.932,7115.36,1743.614,6712.707,0.131,-0.882,-0.453
AGV1,1261.932,7115.36,1743.613,6712.707,-0.006,-0.887,-0.462
AGV1,1261.932,7115.36,1743.612,6712.707,-0.022,-0.853,-0.521
AGV1,1261.932,7115.36,1743.611,6712.707,-0.016,-0.856,-0.517
AGV1,1261.932,7115.36,1743.61,6712.707,0.052,-0.913,-0.404
AGV1,1261.932,7115.36,1743.61,6712.707,0.28,-0.914,-0.295
AGV1,1261.932,7115.36,1743.61,6712.707,0.303,-0.905,-0.299
AGV1,1261.932,7115.36,1743.609,6712.707,0.462,-0.848,-0.259
AGV1,1261.932,7115.36,1743.609,6712.707,0.456,-0.853,-0.253
AGV1,1261.932,7115.36,1743.609,6712.707,0.426,-0.861,-0.277
AGV1,1262.106,7115.418,1743.609,6712.707,0.182,-0.893,-0.412
AGV1,1263.104,7115.882,1743.609,6712.707,0.041,-0.889,-0.456
AGV1,1263.212,7116.018,1743.609,6712.707,0.004,-0.889,-0.458
AGV1,1263.2,7116.182,1743.609,6712.707,-0.109,-0.871,-0.479
AGV1,1263.192,7116.347,1743.609,6712.707,-0.084,-0.879,-0.468
AGV1,1263.231,7116.364,1743.609,6712.707,-0.007,-0.916,-0.4
AGV1,1263.321,7116.327,1743.609,6712.707,0.38,-0.824,-0.419
AGV1,1263.327,7116.347,1743.609,6712.707,0.477,-0.76,-0.441
AGV1,1264.542,7120.319,1743.609,6712.707,0.702,-0.566,-0.432
AGV1,1265.819,7127.614,1743.609,6712.707,0.716,-0.528,-0.455
AGV1,1265.758,7132.932,1743.609,6712.707,0.845,-0.398,-0.357
AGV1,1262.254,7129.516,1743.609,6712.707,0.887,-0.335,-0.316
AGV1,1261.942,7125.606,1743.609,6712.707,0.866,-0.355,-0.351
AGV1,1261.903,7124.958,1743.609,6712.707,0.861,-0.35,-0.368
AGV1,1262.104,7123.207,1743.609,6712.707,0.89,-0.302,-0.341
AGV1,1262.394,7121.454,1743.609,6712.707,0.919,-0.214,-0.33
AGV1,1262.732,7120.262,1743.609,6712.707,0.901,-0.276,-0.334
AGV1,1264.33,7118.482,1743.609,6712.707,0.889,-0.294,-0.35
AGV1,1266.517,7116.053,1743.609,6712.707,0.884,-0.295,-0.361
AGV1,1269.531,7113.498,1743.609,6712.707,0.864,-0.368,-0.344
AGV1,1272.92,7111.423,1743.609,6712.707,0.855,-0.371,-0.362
AGV1,1274.796,7109.382,1743.609,6712.707,0.851,-0.374,-0.368
